payment_sk,payment_id,booking_sk,amount,amount_quality,payment_method
613,PAY1612,596,11063.32,valid,UPI
614,PAY1613,979,9450.85,valid,UPI
615,PAY1614,42,13829.91,valid,UPI
616,PAY1615,731,,missing,NETBANKING
617,PAY1616,57,3173.87,valid,NETBANKING
618,PAY1617,738,12049.41,valid,CARD
619,PAY1618,196,6019.11,valid,CARD
620,PAY1619,760,2656.83,valid,UPI
621,PAY1620,678,14950.31,valid,CARD
622,PAY1621,62,12021.50,valid,CARD
623,PAY1622,263,6722.37,valid,UPI
624,PAY1623,112,,missing,NETBANKING
625,PAY1624,765,10528.45,valid,NETBANKING
626,PAY1625,711,12059.65,valid,CARD
627,PAY1626,178,12412.89,valid,NETBANKING
628,PAY1627,948,2186.20,valid,NETBANKING
629,PAY1628,26,9721.62,valid,CARD
630,PAY1629,410,1095.00,valid,UPI
631,PAY1630,758,1608.39,valid,CARD
632,PAY1631,531,13655.72,valid,CARD
633,PAY1632,777,8385.89,valid,CARD
634,PAY1633,317,11302.63,valid,UPI
635,PAY1634,532,12739.01,valid,UPI
636,PAY1635,106,14294.21,valid,UPI
637,PAY1636,749,13170.94,valid,UPI
638,PAY1637,818,7766.36,valid,CARD
639,PAY1638,464,5703.58,valid,NETBANKING
640,PAY1639,246,3162.91,valid,CARD
641,PAY1640,81,6604.50,valid,UPI
642,PAY1641,662,6130.91,valid,NETBANKING
643,PAY1642,909,8834.05,valid,CARD
644,PAY1643,396,10317.13,valid,NETBANKING
645,PAY1644,522,,missing,UPI
646,PAY1645,833,11197.41,valid,NETBANKING
647,PAY1646,736,10012.48,valid,NETBANKING
648,PAY1647,926,5691.29,valid,UPI
649,PAY1648,264,1483.05,valid,NETBANKING
650,PAY1649,661,5033.75,valid,CARD
651,PAY1650,790,11758.27,valid,NETBANKING
652,PAY1651,274,3873.81,valid,CARD
653,PAY1652,706,10970.63,valid,NETBANKING
654,PAY1653,944,9116.92,valid,NETBANKING
655,PAY1654,172,3406.00,valid,UPI
656,PAY1655,265,4662.75,valid,UPI
657,PAY1656,963,7948.25,valid,CARD
658,PAY1657,822,,missing,UPI
659,PAY1658,26,11899.89,valid,UPI
660,PAY1659,469,11281.66,valid,UPI
661,PAY1660,862,9044.04,valid,UPI
662,PAY1661,476,12511.85,valid,UPI
663,PAY1662,356,8877.37,valid,CARD
664,PAY1663,26,14501.45,valid,CARD
665,PAY1664,34,,missing,UPI
666,PAY1665,264,10997.85,valid,UPI
667,PAY1666,138,6179.22,valid,CARD
668,PAY1667,816,4905.53,valid,NETBANKING
669,PAY1668,695,3525.42,valid,CARD
670,PAY1669,875,8735.05,valid,NETBANKING
671,PAY1670,754,4016.57,valid,UPI
672,PAY1671,566,3804.91,valid,UPI
673,PAY1672,462,14867.45,valid,CARD
674,PAY1673,168,12224.46,valid,UPI
675,PAY1674,631,11475.88,valid,NETBANKING
676,PAY1675,655,12116.85,valid,NETBANKING
677,PAY1676,81,14564.92,valid,CARD
678,PAY1677,757,,non_numeric,NETBANKING
679,PAY1678,914,4083.41,valid,CARD
680,PAY1679,864,13070.93,valid,CARD
681,PAY1680,870,11398.23,valid,NETBANKING
682,PAY1681,407,6800.32,valid,NETBANKING
683,PAY1682,574,7629.97,valid,NETBANKING
684,PAY1683,46,,non_numeric,NETBANKING
685,PAY1684,599,14019.19,valid,NETBANKING
686,PAY1685,611,5809.44,valid,NETBANKING
687,PAY1686,807,14488.78,valid,NETBANKING
688,PAY1687,911,13743.80,valid,UPI
689,PAY1688,53,9827.30,valid,CARD
690,PAY1689,984,9117.50,valid,CARD
691,PAY1690,704,6181.25,valid,NETBANKING
692,PAY1691,959,1256.74,valid,CARD
693,PAY1692,476,2786.72,valid,NETBANKING
694,PAY1693,592,11559.24,valid,UPI
695,PAY1694,16,7601.56,valid,CARD
696,PAY1695,360,3097.73,valid,CARD
697,PAY1696,487,4695.45,valid,UPI
698,PAY1697,838,14269.72,valid,UPI
699,PAY1698,706,6139.86,valid,UPI
700,PAY1699,502,13707.55,valid,CARD
701,PAY1700,141,,non_numeric,CARD
702,PAY1701,620,8605.08,valid,UPI
703,PAY1702,815,1286.68,valid,UPI
704,PAY1703,777,8306.25,valid,UPI
705,PAY1704,447,,missing,UPI
706,PAY1705,290,,missing,UPI
707,PAY1706,209,9105.12,valid,NETBANKING
708,PAY1707,475,10060.35,valid,UPI
709,PAY1708,413,10616.41,valid,NETBANKING
710,PAY1709,677,11869.65,valid,CARD
711,PAY1710,427,,missing,CARD
712,PAY1711,854,8948.88,valid,NETBANKING
713,PAY1712,371,14742.11,valid,UPI
714,PAY1713,832,13574.02,valid,CARD
715,PAY1714,664,14337.32,valid,UPI
716,PAY1715,967,6405.91,valid,UPI
717,PAY1716,290,12016.99,valid,NETBANKING
718,PAY1717,432,9678.57,valid,CARD
719,PAY1718,268,2158.29,valid,CARD
720,PAY1719,151,12535.73,valid,NETBANKING
721,PAY1720,719,10479.42,valid,UPI
722,PAY1721,255,,missing,UPI
723,PAY1722,353,2116.34,valid,CARD
724,PAY1723,377,12718.31,valid,NETBANKING
725,PAY1724,653,2104.63,valid,NETBANKING
726,PAY1725,855,2278.95,valid,UPI
727,PAY1726,358,6983.72,valid,UPI
728,PAY1727,608,2887.17,valid,NETBANKING
729,PAY1728,941,13791.37,valid,CARD
730,PAY1729,370,7583.98,valid,UPI
731,PAY1730,227,8968.11,valid,NETBANKING
732,PAY1731,705,13993.49,valid,NETBANKING
733,PAY1732,303,8423.69,valid,NETBANKING
734,PAY1733,826,5950.28,valid,CARD
735,PAY1734,389,12160.17,valid,UPI
736,PAY1735,377,7199.90,valid,UPI
737,PAY1736,973,5458.57,valid,UPI
738,PAY1737,118,11125.21,valid,CARD
739,PAY1738,5,12222.48,valid,UPI
740,PAY1739,444,,non_numeric,UPI
741,PAY1740,352,14687.44,valid,UPI
742,PAY1741,755,12013.34,valid,UPI
743,PAY1742,533,,missing,CARD
744,PAY1743,664,13004.79,valid,NETBANKING
745,PAY1744,640,1002.59,valid,NETBANKING
746,PAY1745,124,6074.04,valid,UPI
747,PAY1746,658,11326.44,valid,UPI
748,PAY1747,277,9396.07,valid,UPI
749,PAY1748,822,,missing,CARD
750,PAY1749,394,5252.26,valid,UPI
751,PAY1750,664,5715.10,valid,CARD
752,PAY1751,360,8949.59,valid,UPI
753,PAY1752,623,12642.38,valid,UPI
754,PAY1753,469,14054.88,valid,NETBANKING
755,PAY1754,985,11501.29,valid,UPI
756,PAY1755,628,12801.31,valid,CARD
757,PAY1756,700,,non_numeric,NETBANKING
758,PAY1757,57,,missing,CARD
759,PAY1758,251,6497.92,valid,NETBANKING
760,PAY1759,896,9624.54,valid,CARD
761,PAY1760,919,2739.31,valid,NETBANKING
762,PAY1761,150,9112.92,valid,CARD
763,PAY1762,452,10311.86,valid,CARD
764,PAY1763,162,7144.72,valid,UPI
765,PAY1764,120,14344.34,valid,NETBANKING
766,PAY1765,582,9514.99,valid,NETBANKING
767,PAY1766,924,,missing,UPI
768,PAY1767,351,7709.03,valid,CARD
769,PAY1768,99,10455.66,valid,CARD
770,PAY1769,167,5530.81,valid,NETBANKING
771,PAY1770,810,2114.98,valid,CARD
772,PAY1771,663,9168.10,valid,NETBANKING
773,PAY1772,838,14270.18,valid,NETBANKING
774,PAY1773,976,7791.01,valid,CARD
775,PAY1774,514,13685.53,valid,CARD
776,PAY1775,664,12690.33,valid,CARD
777,PAY1776,401,3063.78,valid,UPI
778,PAY1777,365,10914.38,valid,NETBANKING
779,PAY1778,577,,non_numeric,CARD
780,PAY1779,326,4503.45,valid,UPI
781,PAY1780,581,10617.14,valid,CARD
782,PAY1781,633,11397.25,valid,NETBANKING
783,PAY1782,621,3518.55,valid,UPI
784,PAY1783,828,13802.23,valid,NETBANKING
785,PAY1784,247,11516.06,valid,CARD
786,PAY1785,434,14067.26,valid,CARD
787,PAY1786,93,5439.03,valid,CARD
788,PAY1787,268,14150.69,valid,UPI
789,PAY1788,615,6159.25,valid,UPI
790,PAY1789,943,1755.58,valid,UPI
791,PAY1790,963,11681.57,valid,UPI
792,PAY1791,624,10849.11,valid,CARD
793,PAY1792,321,9370.75,valid,CARD
794,PAY1793,923,7858.51,valid,CARD
795,PAY1794,816,1450.31,valid,UPI
796,PAY1795,856,9744.36,valid,UPI
797,PAY1796,62,6835.68,valid,CARD
798,PAY1797,300,8842.93,valid,CARD
799,PAY1798,403,7010.50,valid,UPI
800,PAY1799,955,14524.79,valid,NETBANKING
801,PAY1800,648,9457.52,valid,CARD
802,PAY1801,567,11489.31,valid,CARD
803,PAY1802,620,14108.86,valid,CARD
804,PAY1803,303,9282.39,valid,UPI
805,PAY1804,770,1168.88,valid,CARD
806,PAY1805,253,1480.08,valid,CARD
807,PAY1806,734,10832.74,valid,CARD
808,PAY1807,478,4907.19,valid,CARD
809,PAY1808,369,9111.32,valid,CARD
810,PAY1809,679,3831.88,valid,NETBANKING
811,PAY1810,941,4783.48,valid,NETBANKING
812,PAY1811,160,8064.97,valid,CARD
813,PAY1812,961,14657.97,valid,CARD
814,PAY1813,166,9627.79,valid,CARD
815,PAY1814,205,14106.07,valid,CARD
816,PAY1815,267,14431.32,valid,UPI
817,PAY1816,138,3913.54,valid,UPI
818,PAY1817,368,,non_numeric,UPI
819,PAY1818,443,11779.89,valid,NETBANKING
820,PAY1819,858,13134.70,valid,CARD
821,PAY1820,760,8269.17,valid,UPI
822,PAY1821,567,14905.16,valid,CARD
823,PAY1822,916,1162.01,valid,CARD
824,PAY1823,721,5194.30,valid,NETBANKING
825,PAY1824,17,9724.26,valid,NETBANKING
826,PAY1825,68,7570.06,valid,UPI
827,PAY1826,133,2632.44,valid,UPI
828,PAY1827,700,6149.02,valid,NETBANKING
829,PAY1828,919,1356.26,valid,NETBANKING
830,PAY1829,430,9998.44,valid,CARD
831,PAY1830,308,13498.40,valid,CARD
832,PAY1831,650,13388.24,valid,UPI
833,PAY1832,174,,non_numeric,UPI
834,PAY1833,412,7520.78,valid,NETBANKING
835,PAY1834,97,8168.44,valid,UPI
836,PAY1835,683,2916.86,valid,CARD
837,PAY1836,154,5774.24,valid,NETBANKING
838,PAY1837,695,3628.19,valid,CARD
839,PAY1838,242,,missing,NETBANKING
840,PAY1839,304,13806.55,valid,NETBANKING
841,PAY1840,285,8516.93,valid,CARD
842,PAY1841,27,11188.70,valid,UPI
843,PAY1842,402,2700.51,valid,UPI
844,PAY1843,360,9519.49,valid,UPI
845,PAY1844,60,10839.07,valid,UPI
846,PAY1845,202,7338.75,valid,CARD
847,PAY1846,762,4405.82,valid,NETBANKING
848,PAY1847,874,13283.24,valid,CARD
849,PAY1848,581,11400.72,valid,UPI
850,PAY1849,970,13598.00,valid,UPI
851,PAY1850,370,,non_numeric,CARD
852,PAY1851,533,14865.24,valid,NETBANKING
853,PAY1852,152,,non_numeric,CARD
854,PAY1853,102,2214.47,valid,CARD
855,PAY1854,899,5718.04,valid,CARD
856,PAY1855,1000,2806.06,valid,NETBANKING
857,PAY1856,607,8323.82,valid,CARD
858,PAY1857,446,9862.40,valid,CARD
859,PAY1858,873,9096.04,valid,UPI
860,PAY1859,229,4629.36,valid,CARD
861,PAY1860,125,13723.54,valid,UPI
862,PAY1861,770,1296.41,valid,UPI
863,PAY1862,834,5872.19,valid,UPI
864,PAY1863,999,11065.89,valid,NETBANKING
865,PAY1864,881,11737.00,valid,UPI
866,PAY1865,938,6825.66,valid,CARD
867,PAY1866,236,1236.74,valid,CARD
868,PAY1867,162,9652.61,valid,UPI
869,PAY1868,554,1883.33,valid,UPI
870,PAY1869,788,2509.98,valid,CARD
871,PAY1870,353,10103.51,valid,UPI
872,PAY1871,68,5374.84,valid,NETBANKING
873,PAY1872,173,5872.42,valid,UPI
874,PAY1873,843,7815.30,valid,NETBANKING
875,PAY1874,637,14700.10,valid,NETBANKING
876,PAY1875,682,14516.19,valid,NETBANKING
877,PAY1876,559,6827.65,valid,UPI
878,PAY1877,261,4716.99,valid,NETBANKING
879,PAY1878,217,5236.29,valid,NETBANKING
880,PAY1879,817,4762.94,valid,UPI
881,PAY1880,124,8451.44,valid,NETBANKING
882,PAY1881,805,9496.04,valid,UPI
883,PAY1882,162,7842.91,valid,CARD
884,PAY1883,201,6711.92,valid,NETBANKING
885,PAY1884,454,3957.99,valid,UPI
886,PAY1885,402,7755.08,valid,CARD
887,PAY1886,462,5775.44,valid,NETBANKING
888,PAY1887,275,8582.34,valid,NETBANKING
889,PAY1888,206,10452.65,valid,UPI
890,PAY1889,40,9866.37,valid,CARD
891,PAY1890,273,,missing,UPI
892,PAY1891,700,8784.73,valid,NETBANKING
893,PAY1892,867,4987.99,valid,NETBANKING
894,PAY1893,93,1339.36,valid,NETBANKING
895,PAY1894,42,9750.27,valid,NETBANKING
896,PAY1895,465,4535.96,valid,CARD
897,PAY1896,379,10365.35,valid,CARD
898,PAY1897,107,,non_numeric,UPI
899,PAY1898,328,13822.99,valid,UPI
900,PAY1899,65,14413.72,valid,UPI
901,PAY1900,365,1147.36,valid,NETBANKING
902,PAY1901,821,14865.24,valid,UPI
903,PAY1902,484,10562.26,valid,CARD
904,PAY1903,647,10009.34,valid,UPI
905,PAY1904,901,1212.98,valid,UPI
906,PAY1905,24,13057.27,valid,CARD
907,PAY1906,540,3036.88,valid,CARD
908,PAY1907,62,12722.62,valid,NETBANKING
909,PAY1908,491,1217.88,valid,CARD
910,PAY1909,273,10043.50,valid,CARD
911,PAY1910,229,7087.22,valid,UPI
912,PAY1911,20,3810.73,valid,CARD
913,PAY1912,3,2505.86,valid,NETBANKING
914,PAY1913,421,7161.79,valid,UPI
915,PAY1914,730,2726.28,valid,NETBANKING
916,PAY1915,911,7810.25,valid,CARD
917,PAY1916,307,9753.04,valid,NETBANKING
918,PAY1917,432,12583.38,valid,NETBANKING
919,PAY1918,136,10501.09,valid,CARD
920,PAY1919,909,1912.80,valid,CARD
921,PAY1920,944,5304.06,valid,UPI
922,PAY1921,515,,missing,UPI
923,PAY1922,193,,missing,UPI
924,PAY1923,585,13148.95,valid,CARD
925,PAY1924,415,6182.07,valid,NETBANKING
926,PAY1925,873,,missing,NETBANKING
927,PAY1926,118,13517.50,valid,UPI
928,PAY1927,666,13434.66,valid,UPI
929,PAY1928,209,12966.45,valid,CARD
930,PAY1929,952,12831.14,valid,NETBANKING
931,PAY1930,34,7723.56,valid,UPI
932,PAY1931,649,3484.04,valid,CARD
933,PAY1932,318,7684.83,valid,UPI
934,PAY1933,120,7924.37,valid,CARD
935,PAY1934,627,7859.04,valid,NETBANKING
936,PAY1935,525,8542.82,valid,CARD
937,PAY1936,581,4607.20,valid,UPI
938,PAY1937,937,6127.38,valid,UPI
939,PAY1938,845,7078.61,valid,NETBANKING
940,PAY1939,769,2835.70,valid,NETBANKING
941,PAY1940,89,7375.10,valid,UPI
942,PAY1941,512,12346.57,valid,UPI
943,PAY1942,47,12592.83,valid,UPI
944,PAY1943,772,6761.89,valid,NETBANKING
945,PAY1944,740,8263.32,valid,UPI
946,PAY1945,959,1471.10,valid,NETBANKING
947,PAY1946,692,10442.06,valid,UPI
948,PAY1947,522,6664.48,valid,CARD
949,PAY1948,284,7236.69,valid,CARD
950,PAY1949,377,,missing,UPI
951,PAY1950,638,7465.68,valid,CARD
952,PAY1951,134,1296.69,valid,NETBANKING
953,PAY1952,667,4184.87,valid,CARD
954,PAY1953,248,7658.69,valid,CARD
955,PAY1954,652,6941.55,valid,NETBANKING
956,PAY1955,318,13045.18,valid,CARD
957,PAY1956,436,8589.93,valid,CARD
958,PAY1957,176,10654.90,valid,UPI
959,PAY1958,835,7570.53,valid,NETBANKING
960,PAY1959,686,7155.18,valid,NETBANKING
961,PAY1960,993,7248.01,valid,UPI
962,PAY1961,586,,missing,UPI
963,PAY1962,351,8540.17,valid,CARD
964,PAY1963,143,4506.21,valid,CARD
965,PAY1964,967,13474.77,valid,CARD
966,PAY1965,804,5663.20,valid,UPI
967,PAY1966,398,3065.33,valid,NETBANKING
968,PAY1967,624,2351.71,valid,CARD
969,PAY1968,718,1187.92,valid,UPI
970,PAY1969,643,6919.99,valid,NETBANKING
971,PAY1970,369,3626.55,valid,UPI
972,PAY1971,501,1303.07,valid,CARD
973,PAY1972,622,8280.27,valid,UPI
974,PAY1973,370,10519.70,valid,UPI
975,PAY1974,579,2200.51,valid,UPI
976,PAY1975,382,7452.89,valid,UPI
977,PAY1976,86,11410.80,valid,NETBANKING
978,PAY1977,787,14801.30,valid,CARD
979,PAY1978,739,10340.66,valid,NETBANKING
980,PAY1979,460,4427.75,valid,UPI
981,PAY1980,950,11031.75,valid,UPI
982,PAY1981,325,,non_numeric,CARD
983,PAY1982,522,3965.19,valid,CARD
984,PAY1983,489,12915.55,valid,NETBANKING
985,PAY1984,929,6983.66,valid,NETBANKING
986,PAY1985,397,14467.69,valid,CARD
987,PAY1986,896,11120.61,valid,NETBANKING
988,PAY1987,355,10023.88,valid,UPI
989,PAY1988,947,11196.94,valid,UPI
990,PAY1989,288,7693.36,valid,CARD
991,PAY1990,459,8073.17,valid,NETBANKING
992,PAY1991,624,12916.90,valid,UPI
993,PAY1992,998,,missing,CARD
994,PAY1993,536,13561.41,valid,NETBANKING
995,PAY1994,291,13471.57,valid,UPI
996,PAY1995,851,14670.86,valid,NETBANKING
997,PAY1996,838,10803.01,valid,NETBANKING
998,PAY1997,168,8032.22,valid,NETBANKING
999,PAY1998,950,3328.36,valid,CARD
1000,PAY1999,621,10875.33,valid,UPI
